client_id,name,email,age,subscription,last_active,churn
C5403,Eduardo da Silva,eduardo73@gmail.com,36,free,2025-11-14,0
C5404,Márcio Neto,marcio22@gmail.com,56,basic,2025-03-25,0
C5405,Fernanda,fernanda@example,72,premium,2025-11-06,0
C5406,Carlos Silva,carlos82@gmail.com,32,,2025-10-29,0
C5407,Marina Neto,marina89@gmail.com,33,basic,2025-10-09,0
C5408,Daniela Souza,daniela@example,44,premium,,1
C5409,Marina,marina@example,57,,2025-07-05,0
C5410,Daniela,daniela48@gmail.com,27,free,2025-10-01,0
C5411,Lúcia Silva,lucia@example,21,free,2025-11-08,0
C5412,Guilherme Souza,guilherme57@gmail.com,68,premium,2025-10-28,0
C5413,Lúcia,lucia6@gmail.com,36,premium,2025-09-21,0
C5414,Bruno,bruno3@gmail.com,45,,2025-11-10,0
C5415,Carlos Silva,carlos24@gmail.com,38,basic,2025-08-31,1
C5416,Bruno da Silva,bruno5@gmail.com,76,free,2025-09-10,1
C5417,Eduardo,eduardo49@gmail.com,64,basic,2025-08-04,1
C5418,Márcio Neto,marcio61@gmail.com,31,free,2025-03-20,1
C5419,Ana da Silva,ana19@gmail.com,50,free,2025-04-20,1
C5420,Carlos,carlos32@gmail.com,65,premium,2025-03-07,0
C5421,Marina Neto,marina7@gmail.com,27,free,2025-10-30,1
C5422,Daniela,daniela89@gmail.com,36,premium,2025-11-12,0
C5423,Ana,ana97@gmail.com,47,basic,2025-10-23,1
C5424,Carlos Silva,carlos10@gmail.com,39,basic,2025-05-06,1
C5425,Daniela Silva,daniela45@gmail.com,20,free,2025-01-07,0
C5426,Lúcia Souza,lucia29@gmail.com,54,free,2025-06-01,1
C5427,Lúcia Silva,lucia33@gmail.com,58,free,2025-11-14,0
C5428,Daniela,daniela1@gmail.com,35,Basic,2025-03-04,1
C5429,Guilherme Silva,guilherme82@gmail.com,28,premium,2025-10-06,1
C5430,Fernanda Souza,fernanda96@gmail.com,65,basic,2025-11-24,1
C5431,Guilherme,guilherme73@gmail.com,19,free,2025-10-03,0
C5432,Ana Souza,ana@example,29,,2025-11-20,0
C5433,Carlos Silva,carlos24@gmail.com,71,free,2025-09-15,1
C5434,Daniela Souza,daniela98@gmail.com,23,free,2025-10-18,0
C5435,Marina Souza,marina58@gmail.com,60,basic,,0
C5436,Fernanda Souza,fernanda81@gmail.com,76,,2025-08-31,0
C5437,Carlos Neto,carlos66@gmail.com,57,free,2025-05-26,0
C5438,Eduardo,eduardo85@gmail.com,61,free,2025-08-19,0
C5439,Guilherme Souza,guilherme58@gmail.com,46,,2025-10-04,0
C5440,Carlos,carlos49@gmail.com,76,free,2025-06-23,1
C5441,Marina Neto,marina78@gmail.com,47,free,2025-04-26,0
C5442,Márcio Neto,,19,basic,2025-11-13,0
C5443,Eduardo Neto,eduardo1@gmail.com,26,,2025-09-17,0
C5444,Bruno,bruno31@gmail.com,64,basic,2025-10-25,1
C5445,Bruno Silva,bruno34@gmail.com,19,FREE,2025-11-20,0
C5446,Carlos,,46,premium,2025-08-17,0
C5447,Ana Silva,ana67@gmail.com,50,free,2025-05-30,0
C5448,Marina Neto,marina23@gmail.com,27,FREE,2025-11-08,1
C5449,Eduardo Silva,,51,basic,2025-06-27,0
C5450,Lúcia,lucia62@gmail.com,61,free,2025-06-05,1
C5451,Márcio Souza,marcio92@gmail.com,72,basic,2025-04-17,1
C5452,Ana Souza,ana22@gmail.com,25,free,2025-10-28,0
C5453,Lúcia da Silva,lucia77@gmail.com,54,free,2025-04-28,1
C5454,Lúcia Neto,lucia5@gmail.com,71,free,2025-10-21,0
C5455,Fernanda Souza,fernanda29@gmail.com,77,basic,2025-09-13,1
C5456,Bruno da Silva,bruno17@gmail.com,50,premium,2025-11-20,1
C5457,Marina,,64,basic,2025-11-20,0
C5458,Guilherme Silva,guilherme44@gmail.com,23,FREE,2025-08-02,1
C5459,Ana,ana25@gmail.com,61,free,2025-10-03,1
C5460,Fernanda da Silva,fernanda82@gmail.com,57,free,2025-10-29,0
C5461,Carlos da Silva,carlos11@gmail.com,62,free,2025-11-05,0
C5462,Ana da Silva,ana29@gmail.com,36,free,2025-08-17,0
C5463,Lúcia Silva,lucia77@gmail.com,49,free,2025-11-24,1
C5464,Daniela,daniela49@gmail.com,44,premium,2025-06-30,0
C5465,Ana,ana66@gmail.com,18,,2025-11-17,1
C5466,Ana Neto,ana8@gmail.com,60,Basic,2025-11-05,0
C5467,Carlos,carlos69@gmail.com,69,free,2025-10-12,0
C5468,Marina,marina31@gmail.com,50,,2025-09-26,0
C5469,Lúcia da Silva,lucia@example,79,free,2025-10-16,0
C5470,Bruno Neto,bruno89@gmail.com,57,free,,0
C5471,Eduardo da Silva,eduardo27@gmail.com,49,,2025-01-30,0
C5472,Fernanda,fernanda47@gmail.com,22,basic,2025-08-24,0
C5473,Lúcia da Silva,,34,free,2025-11-22,1
C5474,Bruno Neto,bruno17@gmail.com,79,basic,2025-10-05,0
C5475,Eduardo Neto,eduardo18@gmail.com,25,free,2025-05-21,0
C5476,Daniela,daniela6@gmail.com,74,premium,2025-10-23,1
C5477,Eduardo Neto,eduardo78@gmail.com,59,basic,2025-11-16,0
C5478,Eduardo da Silva,eduardo16@gmail.com,51,FREE,2025-07-20,1
C5479,Bruno,bruno36@gmail.com,26,free,2025-09-02,0
C5480,Eduardo,eduardo29@gmail.com,73,free,2025-09-09,0
C5481,Lúcia Neto,lucia55@gmail.com,40,basic,2025-11-20,0
C5482,Lúcia,lucia2@gmail.com,52,basic,2025-11-11,1
C5483,Bruno,bruno75@gmail.com,67,free,2025-08-29,0
C5484,Daniela da Silva,daniela78@gmail.com,24,premium,2025-11-04,1
C5485,Daniela,daniela32@gmail.com,32,,2025-09-22,0
C5486,Carlos,carlos61@gmail.com,70,,2025-09-15,0
C5487,Ana Souza,ana29@gmail.com,71,premium,2025-10-25,1
C5488,Ana,ana96@gmail.com,37,,,0
C5489,Eduardo Neto,eduardo28@gmail.com,67,basic,2025-06-11,0
C5490,Guilherme Souza,guilherme67@gmail.com,42,premium,2025-08-01,0
C5491,Eduardo,eduardo27@gmail.com,20,free,2025-11-17,0
C5492,Guilherme Silva,,77,free,2025-11-14,1
C5493,Bruno,bruno94@gmail.com,79,free,2025-09-24,1
C5494,Márcio,marcio@example,72,BASIC,2025-11-09,1
C5495,Bruno da Silva,bruno52@gmail.com,63,free,2024-12-15,1
C5496,Carlos,carlos71@gmail.com,41,Basic,2025-11-09,0
C5497,Bruno Silva,bruno45@gmail.com,51,free,2025-09-25,0
C5498,Guilherme Neto,guilherme73@gmail.com,63,free,2025-10-15,1
C5499,Márcio,marcio6@gmail.com,39,basic,2025-08-25,0
C5241,Guilherme Silva,guilherme62@gmail.com,68,premium,2025-10-10,0
C5448,Marina Neto,marina23@gmail.com,27,FREE,2025-11-08,1
C5075,Daniela,daniela17@gmail.com,67,free,2025-10-04,1
C5212,Carlos Silva,carlos@example,56,premium,2025-10-26,0
C5481,Lúcia Neto,lucia55@gmail.com,40,basic,2025-11-20,0
C5280,Bruno,bruno72@gmail.com,68,,2025-10-19,0
C5474,Bruno Neto,bruno17@gmail.com,79,basic,2025-10-05,0
C5269,Eduardo,eduardo20@gmail.com,49,basic,2025-11-06,0
C5040,Fernanda Silva,fernanda2@gmail.com,34,free,2025-04-17,1
C5222,Daniela Neto,daniela80@gmail.com,32,premium,2025-02-09,0
